response_id,engagement_signal,engagement_type,signal_found_in_column,service_recovery_flag
JA-24001,soft,volunteer_again,q7_anything_else,N
JA-24003,none,,,N
JA-24006,none,,,N
JA-24011,strong,committee_board,q7_anything_else,N
JA-24013,none,,,N
JA-24014,none,,,N
JA-24021,none,,,N
JA-24026,strong,corporate_sponsorship,q7_anything_else,N
JA-24027,none,,,N
JA-24029,none,,,N
JA-24030,strong,volunteer_again,q6_what_could_improve,N
JA-24033,none,,,N
JA-24035,none,,,N
JA-24036,soft,volunteer_again,q7_anything_else,N
JA-24040,soft,volunteer_again,q7_anything_else,N
JA-24042,none,,,N
JA-24044,none,,,Y
JA-24046,none,,,N
JA-24048,none,,,N
JA-24053,none,,,N
JA-24058,soft,volunteer_again,q7_anything_else,N
JA-24060,none,,,Y
JA-24061,strong,volunteer_again,q7_anything_else,N
JA-24064,none,,,N
JA-24066,none,,,N
JA-24067,none,,,N
JA-24069,soft,volunteer_again,q7_anything_else,N
JA-24070,none,,,N
JA-24071,none,,,Y
JA-24072,strong,volunteer_again,q6_what_could_improve,N
JA-24078,none,,,N
JA-24084,soft,volunteer_again,q7_anything_else,N
JA-24087,none,,,N
JA-24090,soft,volunteer_again,q7_anything_else,N
JA-24091,none,,,Y
JA-24095,none,,,Y
JA-24105,none,,,N
JA-24107,none,,,N
JA-24108,soft,volunteer_again,q7_anything_else,N
JA-24110,none,,,Y
JA-24112,none,,,N
JA-24114,none,,,N
JA-24118,soft,volunteer_again,q7_anything_else,N
JA-24124,none,,,Y
JA-24128,none,,,N
JA-24129,none,,,N
JA-24130,none,,,N
JA-24134,none,,,N
JA-24135,none,,,N
JA-24144,soft,volunteer_again,q7_anything_else,N
JA-24145,none,,,N
JA-24152,strong,volunteer_again,q7_anything_else,N
JA-24157,strong,volunteer_again,q7_anything_else,N
JA-24159,none,,,Y
JA-24160,none,,,N
JA-24161,strong,volunteer_again,q7_anything_else,N
JA-24163,none,,,N
JA-24164,none,,,N
JA-24165,none,,,N
JA-24166,none,,,N
JA-24167,none,,,Y
JA-24168,none,,,N
JA-24172,none,,,N
JA-24175,none,,,N
JA-24176,strong,speaking,q7_anything_else,N
JA-24178,none,,,Y
JA-24181,none,,,N
JA-24182,none,,,N
JA-24186,none,,,N
JA-24188,none,,,N
JA-24191,soft,volunteer_again,q7_anything_else,N
JA-24193,none,,,Y
JA-24194,none,,,N
JA-24195,none,,,N
JA-24198,strong,volunteer_again,q6_what_could_improve,N
JA-24200,none,,,N
JA-24202,none,,,N
JA-24204,strong,donation,q7_anything_else,N
JA-24208,none,,,N
JA-24209,strong,committee_board,q7_anything_else,N
JA-24211,none,,,N
JA-24213,none,,,N
JA-24219,soft,volunteer_again,q7_anything_else,N
JA-24224,none,,,N
JA-24225,strong,corporate_sponsorship,q6_what_could_improve,N
JA-24227,none,,,N
JA-24228,none,,,N
JA-24229,none,,,N
JA-24235,soft,volunteer_again,q7_anything_else,N
JA-24237,none,,,N
JA-24238,none,,,N
JA-24242,none,,,N
JA-24244,none,,,N
JA-24245,soft,volunteer_again,q7_anything_else,N
JA-24247,none,,,N
JA-24251,none,,,Y
JA-24252,strong,speaking,q7_anything_else,N
JA-24255,none,,,N
JA-24257,none,,,Y
JA-24259,none,,,N
JA-24260,strong,donation,q7_anything_else,N
JA-24264,soft,volunteer_again,q7_anything_else,N
JA-24266,none,,,N
JA-24273,none,,,Y
JA-24277,none,,,Y
JA-24278,none,,,N
JA-24280,none,,,N
JA-24282,none,,,N
JA-24283,none,,,N
JA-24284,soft,volunteer_again,q7_anything_else,N
JA-24286,none,,,N
JA-24287,none,,,N
JA-24288,none,,,N
JA-24289,none,,,N
JA-24290,none,,,N
JA-24292,none,,,N
JA-24293,soft,volunteer_again,q7_anything_else,N
JA-24295,strong,volunteer_again,q6_what_could_improve,N
JA-24296,none,,,N
JA-24297,none,,,N
JA-24300,none,,,N
JA-24301,none,,,N
JA-24306,strong,volunteer_again,q7_anything_else,N
JA-24310,soft,volunteer_again,q7_anything_else,N
JA-24311,soft,volunteer_again,q7_anything_else,N
JA-24316,none,,,N
JA-24318,strong,corporate_sponsorship,q6_what_could_improve,N
JA-24320,strong,volunteer_again,q6_what_could_improve,N
JA-24322,none,,,Y
JA-24323,none,,,N
JA-24324,soft,volunteer_again,q7_anything_else,N
JA-24325,none,,,N
JA-24326,strong,corporate_sponsorship,q6_what_could_improve,N
JA-24330,none,,,N
JA-24333,none,,,N
JA-24341,soft,volunteer_again,q7_anything_else,N
JA-24342,none,,,N
JA-24344,soft,volunteer_again,q7_anything_else,N
JA-24352,none,,,Y
JA-24354,none,,,N
JA-24355,none,,,Y
JA-24361,soft,volunteer_again,q7_anything_else,N
JA-24365,none,,,N
JA-24369,strong,committee_board,q7_anything_else,N
JA-24371,none,,,N
JA-24374,none,,,N
JA-24375,strong,refer_colleague,q7_anything_else,N
JA-24376,none,,,N
JA-24379,none,,,Y
JA-24382,none,,,N
